case,reference_status,mesh,cl_min,cl_max,cd_min,cd_max,residual_target,residual_policy,residual_drop_min_orders,load_window,load_ptp_limit_pct,cl_ptp_abs_limit,max_nonphysical_points,symmetry_tolerance,shock_angle_reference_deg,shock_angle_tolerance_deg,shock_branch,shock_fit_x_min,shock_fit_x_max,yplus_target,metrics_file,typical_runtime,typical_ram,typical_disk,notes
euler_alpha0,QUALIFIED_TEACHING_REFERENCE_NOT_GRID_BENCHMARK,diamond_euler_sharp_medium_720x181.su2,-1e-6,1e-6,0.0272,0.0276,-10,warning,0.0,200,0.1,1e-7,0,1e-6,25.61135,0.2,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Audited sharp-wall HLLC result: continuation-equivalent CD mean 0.0273643, zero physicality warnings, and strict symmetry. Residual final approximately -4.155 with negative scheme-stage drop is retained as a qualified warning. This is not a grid-qualified benchmark."
euler_alpha1,QUALIFIED_TEACHING_REFERENCE_NOT_GRID_BENCHMARK,diamond_euler_sharp_medium_720x181.su2,0.0242,0.0248,0.0275,0.0281,-10,warning,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Audited sharp-wall HLLC/MUSCL report-sweep result: CL mean 0.0245118 and CD mean 0.0278180 over the last 200 iterations, zero physicality warnings. Residual plateau is retained as a qualified warning; not grid-qualified."
euler_alpha2,QUALIFIED_TEACHING_REFERENCE_NOT_GRID_BENCHMARK,diamond_euler_sharp_medium_720x181.su2,0.0487,0.0493,0.0289,0.0295,-10,warning,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Audited sharp-wall HLLC/MUSCL report-sweep result: CL mean 0.0489685 and CD mean 0.0292097 over the last 200 iterations, zero physicality warnings. Residual plateau is retained as a qualified warning; not grid-qualified."
euler_alpha3,QUALIFIED_TEACHING_REFERENCE_NOT_GRID_BENCHMARK,diamond_euler_sharp_medium_720x181.su2,0.0732,0.0739,0.0313,0.0319,-10,warning,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Audited sharp-wall HLLC/MUSCL report-sweep result: CL mean 0.0735490 and CD mean 0.0315851 over the last 200 iterations, zero physicality warnings. Residual plateau is retained as a qualified warning; not grid-qualified."
euler_alpha4,QUALIFIED_TEACHING_REFERENCE_NOT_GRID_BENCHMARK,diamond_euler_sharp_medium_720x181.su2,0.0978,0.0984,0.0346,0.0351,-10,warning,TBD,200,1.0,not_applicable,0,not_applicable,26.35442,1.25,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Audited sharp-wall HLLC/MUSCL result: CL mean 0.0980729 and CD mean 0.0348849 over the last 200 iterations, zero physicality warnings, and an upper-shock absolute-direction error of 1.081 deg. Residual plateau is retained as a qualified warning; not grid-qualified."
euler_alpha8,TEACHING_CONFIG_NOT_YET_REFERENCE_VERIFIED,diamond_euler_sharp_medium_720x181.su2,,,,,-10,enforce,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Sharp-wall conservative HLLC teaching setup; no package-specific accepted CL/CD, residual-drop, or shock-angle range is asserted."
laminar_alpha0,TEACHING_CONFIG_NOT_YET_REFERENCE_VERIFIED,diamond_medium_720x181.su2,,,,,-10,enforce,TBD,200,1.0,TBD,0,TBD,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Rounded-corner teaching rerun; it does not reproduce the earlier 640x161 dataset. Alpha-zero absolute CL, residual-drop, and symmetry limits remain to be established."
laminar_alpha4,TEACHING_CONFIG_NOT_YET_REFERENCE_VERIFIED,diamond_medium_720x181.su2,,,,,-10,enforce,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Rounded-corner teaching rerun; it does not reproduce the older 640x161 diagnostic dataset."
laminar_alpha8,TEACHING_CONFIG_NOT_YET_REFERENCE_VERIFIED,diamond_medium_720x181.su2,,,,,-10,enforce,TBD,200,1.0,not_applicable,0,not_applicable,TBD,TBD,upper,0.03,0.10,not_applicable,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"No package-specific accepted CL/CD or residual-drop range is asserted."
sst_alpha0,TEACHING_CONFIG_NOT_YET_REFERENCE_VERIFIED,diamond_medium_720x181.su2,,,,,-10,enforce,TBD,200,1.0,TBD,0,TBD,TBD,TBD,upper,0.03,0.10,TBD,case_metrics.json,hardware_dependent,hardware_dependent,hardware_dependent,"Rounded-corner SST teaching setup. No input-sensitivity sweep, accepted y+ range, residual-drop, alpha-zero absolute CL limit, or symmetry tolerance has yet been established."
